7
2
1,0,0,0,0,1,0,0,
Democratic, Working Families, Constitution, Independence, Green, Republican, American, Libertarian, 
# PrecinctID,RegisteredVoters,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,
45013211,1107,0.248299,0,0,0,0,0.714286,0,0,
45013212,1066,0.241245,0,0,0,0,0.731518,0,0,
45013213,953,0.269388,0,0,0,0,0.697959,0,0,
45013216,1510,0.289902,0,0,0,0,0.664495,0,0,
45013217,1380,0.288401,0,0,0,0,0.680251,0,0,
45013220,1769,0.29156,0,0,0,0,0.649616,0,0,
45013221,1410,0.116095,0,0,0,0,0.868074,0,0,
45013222,1614,0.381295,0,0,0,0,0.585132,0,0,
45013223,1246,0.236559,0,0,0,0,0.738351,0,0,
45013224,876,0.332016,0,0,0,0,0.656126,0,0,
45013225,1445,0.313333,0,0,0,0,0.596667,0,0,
45013226,1030,0.194215,0,0,0,0,0.77686,0,0,
45013227,645,0.248227,0,0,0,0,0.737589,0,0,
45013228,966,0.173387,0,0,0,0,0.810484,0,0,
45013300,2197,0.204678,0,0,0,0,0.750487,0,0,
45013301,1624,0.446875,0,0,0,0,0.46875,0,0,
45013302,1063,0.350711,0,0,0,0,0.578199,0,0,
45013303,2000,0.245614,0,0,0,0,0.687135,0,0,
45013304,1835,0.416667,0,0,0,0,0.509615,0,0,
45013305,1389,0.336134,0,0,0,0,0.60084,0,0,
45013306,1683,0.404167,0,0,0,0,0.5125,0,0,
45013307,2590,0.246548,0,0,0,0,0.682446,0,0,
45013310,1175,0.176829,0,0,0,0,0.79878,0,0,
45013311,1773,0.234323,0,0,0,0,0.726073,0,0,
45013312,2344,0.385167,0,0,0,0,0.547847,0,0,
45013352,1276,0.257642,0,0,0,0,0.720524,0,0,
45015001,916,0.684343,0,0,0,0,0.277778,0,0,
45015002,210,0.0659341,0,0,0,0,0.868132,0,0,
45015003,1211,0.386534,0,0,0,0,0.591022,0,0,
45015004,1538,0.218437,0,0,0,0,0.757515,0,0,
45089005,933,0.717042,0,0,0,0,0.263666,0,0,
45015007,1057,0.864368,0,0,0,0,0.124138,0,0,
45015010,1219,0.379009,0,0,0,0,0.568513,0,0,
45015011,1189,0.510386,0,0,0,0,0.462908,0,0,
45015016,744,0.746032,0,0,0,0,0.230159,0,0,
45015026,1214,0.720455,0,0,0,0,0.254545,0,0,
45051151,3151,0.425459,0,0,0,0,0.526376,0,0,
45021023,1360,0.177596,0,0,0,0,0.775956,0,0,
45015035,2791,0.28024,0,0,0,0,0.656287,0,0,
45015036,1815,0.170213,0,0,0,0,0.797872,0,0,
45015041,342,0.522581,0,0,0,0,0.43871,0,0,
45075120,1570,0.306494,0,0,0,0,0.636364,0,0,
45017002,725,0.705314,0,0,0,0,0.26087,0,0,
45017003,1178,0.63388,0,0,0,0,0.322404,0,0,
45017004,219,0.542857,0,0,0,0,0.442857,0,0,
45017005,2249,0.849088,0,0,0,0,0.131012,0,0,
45017006,516,0.55414,0,0,0,0,0.420382,0,0,
45017007,273,0.696203,0,0,0,0,0.265823,0,0,
45017008,1101,0.553459,0,0,0,0,0.424528,0,0,
45079346,3157,0.842713,0,0,0,0,0.126984,0,0,
45063025,852,0.362934,0,0,0,0,0.594595,0,0,
