,,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total,,,,,,,,,,,,,,,,,,
CHECHESSEE 1,1679,93,2,0,11,0,264,1,3,374,,,,,,,,,,,,,,,,,,
CHECHESSEE 2,1622,85,2,0,3,0,259,0,4,353,,,,,,,,,,,,,,,,,,
Ladys Island 1A,1618,127,5,0,11,1,191,4,8,347,,,,,,,,,,,,,,,,,,
Ladys Island 1B,1584,138,1,0,6,1,172,1,2,321,,,,,,,,,,,,,,,,,,
Ladys Island 2A,1750,61,3,1,9,1,234,1,2,312,,,,,,,,,,,,,,,,,,
Ladys Island 2B,1074,65,2,0,7,2,172,0,2,250,,,,,,,,,,,,,,,,,,
Ladys Island 3A,944,60,0,0,4,2,138,1,0,205,,,,,,,,,,,,,,,,,,
Ladys Island 3B,1145,50,1,0,6,0,162,0,1,220,,,,,,,,,,,,,,,,,,
Mossy Oaks 1A,1056,61,0,0,4,2,152,1,2,222,,,,,,,,,,,,,,,,,,
Mossy Oaks 1B,1313,57,4,0,6,2,169,0,3,241,,,,,,,,,,,,,,,,,,
Mossy Oaks 2,1390,87,8,0,3,2,129,1,2,232,,,,,,,,,,,,,,,,,,
PORT ROYAL 1,1299,108,4,4,5,1,123,2,3,250,,,,,,,,,,,,,,,,,,
PORT ROYAL 2,1521,128,6,2,3,1,105,3,3,251,,,,,,,,,,,,,,,,,,
DALE LOBECO,1236,241,5,0,4,2,82,0,1,335,,,,,,,,,,,,,,,,,,
SEABROOK 1,1265,132,4,2,2,0,121,3,3,267,,,,,,,,,,,,,,,,,,
SEABROOK 2,1016,200,2,0,3,2,55,4,2,268,,,,,,,,,,,,,,,,,,
SEABROOK 3,1488,247,3,2,7,2,150,4,2,417,,,,,,,,,,,,,,,,,,
SHELDON 1,1149,202,4,0,3,1,131,1,0,342,,,,,,,,,,,,,,,,,,
SHELDON 2,895,241,3,0,2,1,16,1,0,264,,,,,,,,,,,,,,,,,,
BURTON 1D,1311,71,5,0,4,0,100,3,0,183,,,,,,,,,,,,,,,,,,
Saint Helena 1A,1479,300,2,0,3,0,49,0,1,355,,,,,,,,,,,,,,,,,,
Saint Helena 1B,1450,335,3,2,2,0,65,0,2,409,,,,,,,,,,,,,,,,,,
Saint Helena 1C,1508,61,0,0,4,2,254,1,1,323,,,,,,,,,,,,,,,,,,
Saint Helena 2A,1390,196,7,0,3,0,122,0,0,328,,,,,,,,,,,,,,,,,,
Saint Helena 2B,1386,280,2,1,6,2,74,3,2,370,,,,,,,,,,,,,,,,,,
Saint Helena 2C,1163,63,0,1,2,0,211,0,2,279,,,,,,,,,,,,,,,,,,
Ladys Island 2C,983,67,6,0,6,1,133,1,5,219,,,,,,,,,,,,,,,,,,
Ladys Island 3C,1201,54,2,0,8,2,147,0,1,214,,,,,,,,,,,,,,,,,,
DAUFUSKIE,436,30,0,0,2,0,81,0,0,113,,,,,,,,,,,,,,,,,,
HILTON HEAD 1A,1377,155,6,1,11,1,153,2,6,335,,,,,,,,,,,,,,,,,,
HILTON HEAD 1B,1284,141,5,1,4,0,144,2,1,298,,,,,,,,,,,,,,,,,,
HILTON HEAD 2A,1602,173,0,1,6,1,214,1,4,400,,,,,,,,,,,,,,,,,,
HILTON HEAD 2B,1720,215,20,2,8,3,126,3,11,388,,,,,,,,,,,,,,,,,,
HILTON HEAD 2C,1582,80,0,0,2,0,319,0,1,402,,,,,,,,,,,,,,,,,,
HILTON HEAD 3,798,39,1,0,6,0,163,0,1,210,,,,,,,,,,,,,,,,,,
HILTON HEAD 4A,875,43,0,0,4,0,136,0,1,184,,,,,,,,,,,,,,,,,,
HILTON HEAD 4B,1356,91,1,0,4,1,265,1,3,366,,,,,,,,,,,,,,,,,,
HILTON HEAD 4C,1113,91,1,1,5,2,168,0,0,268,,,,,,,,,,,,,,,,,,
HILTON HEAD 4D,1201,76,0,1,4,0,196,1,2,280,,,,,,,,,,,,,,,,,,
HILTON HEAD 5A,1107,73,1,1,8,0,210,0,1,294,,,,,,,,,,,,,,,,,,
HILTON HEAD 5B,1066,62,1,0,4,0,188,1,1,257,,,,,,,,,,,,,,,,,,
HILTON HEAD 5C,953,66,1,0,4,1,171,0,2,245,,,,,,,,,,,,,,,,,,
HILTON HEAD 6,1398,76,1,0,3,2,242,2,2,328,,,,,,,,,,,,,,,,,,
HILTON HEAD 7A,1510,89,3,0,7,2,204,1,1,307,,,,,,,,,,,,,,,,,,
HILTON HEAD 7B,1380,92,2,0,6,0,217,0,2,319,,,,,,,,,,,,,,,,,,
HILTON HEAD 8,993,62,2,1,5,3,148,2,3,226,,,,,,,,,,,,,,,,,,
HILTON HEAD 9A,1769,114,4,1,8,5,254,1,4,391,,,,,,,,,,,,,,,,,,
HILTON HEAD 9B,1410,44,0,0,4,2,329,0,0,379,,,,,,,,,,,,,,,,,,
HILTON HEAD 10,1614,159,6,0,3,0,244,0,5,417,,,,,,,,,,,,,,,,,,
HILTON HEAD 11,1246,66,0,0,5,0,206,0,2,279,,,,,,,,,,,,,,,,,,
HILTON HEAD 12,876,84,1,0,0,0,166,0,2,253,,,,,,,,,,,,,,,,,,
HILTON HEAD 13,1445,94,4,0,7,4,179,5,7,300,,,,,,,,,,,,,,,,,,
HILTON HEAD 14,1030,47,0,0,4,1,188,0,2,242,,,,,,,,,,,,,,,,,,
HILTON HEAD 15A,645,35,0,0,1,0,104,0,1,141,,,,,,,,,,,,,,,,,,
HILTON HEAD 15B,966,43,0,0,2,0,201,0,2,248,,,,,,,,,,,,,,,,,,
BELFAIR,2197,105,3,0,8,6,385,1,5,513,,,,,,,,,,,,,,,,,,
Bluffton 1A,1624,143,7,1,9,4,150,4,2,320,,,,,,,,,,,,,,,,,,
Bluffton 1B,1063,74,6,0,5,0,122,0,4,211,,,,,,,,,,,,,,,,,,
Bluffton 1C,2000,84,3,1,12,1,235,2,4,342,,,,,,,,,,,,,,,,,,
Bluffton 1D,1835,130,5,0,11,4,159,1,2,312,,,,,,,,,,,,,,,,,,
Bluffton 2A,1389,80,7,1,3,1,143,0,3,238,,,,,,,,,,,,,,,,,,
