,,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total,,,,,,,,,,,,,,,,,,
HOREB-GLENN,355,106,5,1,2,0,10,1,0,125,,,,,,,,,,,,,,,,,,
HICKORY RIDGE,924,215,0,0,3,0,34,1,0,253,,,,,,,,,,,,,,,,,,
LEBANON,729,100,5,0,0,5,29,1,0,140,,,,,,,,,,,,,,,,,,
MITFORD,765,155,1,0,2,5,86,1,1,251,,,,,,,,,,,,,,,,,,
MONTICELLO,591,151,4,0,1,1,22,2,2,183,,,,,,,,,,,,,,,,,,
NEW HOPE,67,9,0,0,1,0,6,0,0,16,,,,,,,,,,,,,,,,,,
RIDGEWAY,2223,449,5,3,7,1,135,5,0,605,,,,,,,,,,,,,,,,,,
SIMPSON,912,183,5,2,1,2,72,1,1,267,,,,,,,,,,,,,,,,,,
SOUTH WINNSBORO,771,188,6,0,3,0,13,0,0,210,,,,,,,,,,,,,,,,,,
WINNSBORO MILLS,837,113,3,0,1,4,41,1,0,163,,,,,,,,,,,,,,,,,,
WINNSBORO NO. 1,1575,247,7,0,4,0,40,6,2,306,,,,,,,,,,,,,,,,,,
WINNSBORO NO. 2,1151,167,7,0,3,4,49,1,1,232,,,,,,,,,,,,,,,,,,
WHITE OAK,265,57,1,1,0,1,11,0,0,71,,,,,,,,,,,,,,,,,,
WOODARD,140,38,0,0,0,0,3,2,0,43,,,,,,,,,,,,,,,,,,
DUTCHMANS CREEK,1345,77,1,0,2,6,201,1,2,290,,,,,,,,,,,,,,,,,,
BACK SWAMP,624,35,5,0,4,0,84,1,0,129,,,,,,,,,,,,,,,,,,
BROOKGREEN,660,181,2,0,1,0,35,0,1,220,,,,,,,,,,,,,,,,,,
CARTERSVILLE,853,133,3,0,2,2,125,2,0,267,,,,,,,,,,,,,,,,,,
CLAUSSEN,2042,170,1,1,5,0,249,1,3,430,,,,,,,,,,,,,,,,,,
COLES CR ROADS,2739,218,6,2,7,1,268,4,6,512,,,,,,,,,,,,,,,,,,
COWARDS NO. 1,850,83,4,0,2,1,131,5,3,229,,,,,,,,,,,,,,,,,,
COWARDS NO. 2,860,75,5,1,1,0,170,2,1,255,,,,,,,,,,,,,,,,,,
DELMAE NO. 1,2625,271,6,2,7,2,197,2,6,493,,,,,,,,,,,,,,,,,,
DELMAE NO. 2,1940,86,4,2,2,3,246,4,1,348,,,,,,,,,,,,,,,,,,
EBENEZER NO. 1,3657,197,7,1,12,6,470,3,8,704,,,,,,,,,,,,,,,,,,
EBENEZER NO. 2,2401,199,3,0,1,2,290,4,1,500,,,,,,,,,,,,,,,,,,
EBENEZER NO. 3,1340,67,3,0,4,0,163,2,1,240,,,,,,,,,,,,,,,,,,
EFFINGHAM,870,39,2,0,2,0,136,3,0,182,,,,,,,,,,,,,,,,,,
ELIM-GLENWOOD,1511,112,4,1,4,0,261,2,0,384,,,,,,,,,,,,,,,,,,
EVERGREEN,1035,85,3,2,3,3,161,1,0,258,,,,,,,,,,,,,,,,,,
FLORENCE NO. 1,1414,381,2,0,3,0,8,2,2,398,,,,,,,,,,,,,,,,,,
FLORENCE NO. 2,1473,322,5,0,1,1,12,2,0,343,,,,,,,,,,,,,,,,,,
FLORENCE NO. 3,1614,406,6,0,2,0,2,1,0,417,,,,,,,,,,,,,,,,,,
FLORENCE NO. 4,870,77,7,0,1,0,59,0,5,149,,,,,,,,,,,,,,,,,,
FLORENCE NO. 5,1121,192,6,0,3,1,57,3,1,263,,,,,,,,,,,,,,,,,,
FLORENCE NO. 6,791,44,1,0,2,0,73,0,0,120,,,,,,,,,,,,,,,,,,
FLORENCE NO. 7,2155,107,2,0,5,2,179,0,7,302,,,,,,,,,,,,,,,,,,
FLORENCE NO. 8,1840,51,4,0,2,1,177,1,2,238,,,,,,,,,,,,,,,,,,
FLORENCE NO. 9,1835,477,3,1,0,0,2,1,0,484,,,,,,,,,,,,,,,,,,
FLORENCE NO. 10,771,184,1,0,0,1,5,3,0,194,,,,,,,,,,,,,,,,,,
FLORENCE NO. 11,1002,88,4,0,2,2,90,3,1,190,,,,,,,,,,,,,,,,,,
FLORENCE NO. 12,2431,100,6,3,8,2,244,7,3,373,,,,,,,,,,,,,,,,,,
FLORENCE NO. 14,2210,99,2,0,3,1,171,0,2,278,,,,,,,,,,,,,,,,,,
FLORENCE NO. 15,476,124,1,0,2,1,21,0,0,149,,,,,,,,,,,,,,,,,,
FRIENDFIELD,444,25,1,0,0,1,120,0,3,150,,,,,,,,,,,,,,,,,,
GILBERT,2239,507,9,2,5,2,51,2,1,579,,,,,,,,,,,,,,,,,,
GREENWOOD,2048,227,6,1,4,0,206,3,3,450,,,,,,,,,,,,,,,,,,
HANNAH,666,18,2,1,2,0,147,0,1,171,,,,,,,,,,,,,,,,,,
HIGH HILL,470,43,3,1,5,0,88,3,0,143,,,,,,,,,,,,,,,,,,
JOHNSONVILLE,2057,239,7,0,6,2,374,5,0,633,,,,,,,,,,,,,,,,,,
KINGSBURG-STONE,1018,257,2,1,2,1,115,0,1,379,,,,,,,,,,,,,,,,,,
LAKE CITY NO. 1,1501,375,4,0,1,1,61,2,1,445,,,,,,,,,,,,,,,,,,
LAKE CITY NO. 2,1165,145,6,0,4,0,151,2,1,309,,,,,,,,,,,,,,,,,,
LAKE CITY NO. 3,1648,321,9,0,2,1,124,7,2,466,,,,,,,,,,,,,,,,,,
LAKE CITY NO. 4,2244,672,7,1,0,2,14,1,1,698,,,,,,,,,,,,,,,,,,
LEO,341,46,3,0,0,0,52,0,1,102,,,,,,,,,,,,,,,,,,
MARS BLUFF NO. 1,2316,279,10,0,10,2,230,2,2,535,,,,,,,,,,,,,,,,,,
MARS BLUFF NO. 2,1529,123,6,0,2,0,213,5,1,350,,,,,,,,,,,,,,,,,,
MCALLISTER MILL,717,91,1,0,5,1,123,1,1,223,,,,,,,,,,,,,,,,,,
MILL BRANCH,618,191,4,2,1,1,54,2,0,255,,,,,,,,,,,,,,,,,,
OAK GROVE-SARDIS,1026,61,5,0,9,0,219,0,2,296,,,,,,,,,,,,,,,,,,
OLANTA,1353,254,7,0,3,0,200,3,2,469,,,,,,,,,,,,,,,,,,
PAMPLICO NO. 1,1028,106,6,0,3,1,183,2,1,302,,,,,,,,,,,,,,,,,,
PAMPLICO NO. 2,710,204,1,0,5,1,41,2,0,254,,,,,,,,,,,,,,,,,,
PROSPECT,322,7,6,0,2,0,100,0,0,115,,,,,,,,,,,,,,,,,,
QUINBY,1000,192,1,1,3,1,42,1,1,242,,,,,,,,,,,,,,,,,,
SALEM,485,14,6,1,4,2,118,0,0,145,,,,,,,,,,,,,,,,,,
SAVANNAH GROVE,4140,460,12,0,8,1,300,5,3,789,,,,,,,,,,,,,,,,,,
SCRANTON,954,155,1,0,1,1,134,2,1,295,,,,,,,,,,,,,,,,,,
SOUTH FLORENCE NO. 1,3003,174,6,2,2,1,149,1,4,339,,,,,,,,,,,,,,,,,,
SOUTH FLORENCE NO. 2,2168,399,7,0,5,0,64,3,4,482,,,,,,,,,,,,,,,,,,
SPAULDING,1232,346,4,0,2,0,12,0,1,365,,,,,,,,,,,,,,,,,,
TANS BAY,1778,173,6,0,6,1,183,1,3,373,,,,,,,,,,,,,,,,,,
TIMMONSVILLE NO. 1,1769,463,10,0,1,1,57,6,2,540,,,,,,,,,,,,,,,,,,
TIMMONSVILLE NO. 2,1292,194,2,0,7,0,128,2,0,333,,,,,,,,,,,,,,,,,,
VOX,628,48,3,1,3,0,151,0,1,207,,,,,,,,,,,,,,,,,,
WEST FLORENCE NO. 1,2948,204,5,1,7,5,372,2,8,604,,,,,,,,,,,,,,,,,,
WEST FLORENCE NO. 2,1574,101,1,1,6,1,134,1,0,245,,,,,,,,,,,,,,,,,,
ANDREWS,1732,424,6,1,2,2,83,3,2,523,,,,,,,,,,,,,,,,,,
ANDREWS OUTSIDE,1071,256,3,0,1,0,139,0,2,401,,,,,,,,,,,,,,,,,,
BETHEL,889,37,5,0,2,2,273,2,0,321,,,,,,,,,,,,,,,,,,
BLACK RIVER,1455,62,2,1,4,1,237,6,2,315,,,,,,,,,,,,,,,,,,
BROWN'S FERRY,1764,606,3,0,2,3,81,2,0,697,,,,,,,,,,,,,,,,,,
CARVER'S BAY,193,14,1,0,1,0,33,2,0,51,,,,,,,,,,,,,,,,,,
CEDAR CREEK,457,34,2,0,0,0,137,2,1,176,,,,,,,,,,,,,,,,,,
CHOPPEE,988,289,3,1,1,0,64,0,0,358,,,,,,,,,,,,,,,,,,
GEORGETOWN NO. 2-DREAM KEEPERS,1117,342,3,0,4,1,7,0,0,357,,,,,,,,,,,,,,,,,,
FOLLY GROVE,825,95,3,0,3,0,203,1,1,306,,,,,,,,,,,,,,,,,,
GEORGETOWN NO. 1,943,64,1,0,3,1,64,1,2,136,,,,,,,,,,,,,,,,,,
GEORGETOWN NO. 3,1526,332,5,0,3,1,20,6,0,367,,,,,,,,,,,,,,,,,,
GEORGETOWN NO. 4,530,35,0,0,1,2,44,1,0,83,,,,,,,,,,,,,,,,,,
GEORGETOWN NO. 5,1667,164,3,0,5,1,165,2,2,342,,,,,,,,,,,,,,,,,,
GRIER'S,498,213,1,0,0,0,34,2,0,250,,,,,,,,,,,,,,,,,,
KENSINGTON,1048,45,3,0,1,0,170,0,0,219,,,,,,,,,,,,,,,,,,
MURRELL'S INLET NO. 1,2957,186,1,0,15,3,659,2,1,867,,,,,,,,,,,,,,,,,,
MURRELL'S INLET NO. 2,2063,156,3,0,3,0,402,5,2,571,,,,,,,,,,,,,,,,,,
MURRELL'S INLET NO. 3,806,57,0,0,1,0,153,0,0,211,,,,,,,,,,,,,,,,,,
MURRELL'S INLET NO. 4,1450,54,3,0,6,1,304,3,3,374,,,,,,,,,,,,,,,,,,
MYERSVILLE,459,214,1,0,1,0,12,0,0,228,,,,,,,,,,,,,,,,,,
PAWLEY'S ISLAND NO. 1,2972,141,1,0,7,3,458,4,3,617,,,,,,,,,,,,,,,,,,
PAWLEY'S ISLAND NO. 2,3325,270,7,1,9,4,380,1,3,675,,,,,,,,,,,,,,,,,,
PAWLEY'S ISLAND NO. 3,2330,99,2,0,6,2,346,2,3,460,,,,,,,,,,,,,,,,,,
PAWLEY'S ISLAND NO. 4,2467,61,3,1,5,1,350,3,3,427,,,,,,,,,,,,,,,,,,
PAWLEY'S ISLAND NO. 5,2903,102,4,0,4,0,401,0,4,515,,,,,,,,,,,,,,,,,,
PENNY ROYAL,488,45,0,0,1,0,70,1,0,117,,,,,,,,,,,,,,,,,,
PLANTERSVILLE,692,265,0,0,0,0,39,0,0,304,,,,,,,,,,,,,,,,,,
PLEASANT HILL,949,116,0,2,1,0,145,2,3,269,,,,,,,,,,,,,,,,,,
POTATO BED FERRY,600,134,5,0,1,1,135,1,0,277,,,,,,,,,,,,,,,,,,
SAMPIT,1004,343,4,0,2,0,57,2,0,408,,,,,,,,,,,,,,,,,,
SANTEE,1185,367,5,0,6,0,44,0,0,422,,,,,,,,,,,,,,,,,,
SPRING GULLY,1788,258,8,0,6,2,177,5,1,457,,,,,,,,,,,,,,,,,,
WINYAH BAY,896,49,3,0,3,1,127,1,0,184,,,,,,,,,,,,,,,,,,
GREENVILLE 1,1733,109,2,0,8,2,198,0,3,322,,,,,,,,,,,,,,,,,,
GREENVILLE 3,2492,176,1,1,10,4,259,1,6,458,,,,,,,,,,,,,,,,,,
GREENVILLE 4,2805,439,4,2,5,6,161,7,8,632,,,,,,,,,,,,,,,,,,
GREENVILLE 5,2878,325,1,1,6,5,218,2,13,571,,,,,,,,,,,,,,,,,,
GREENVILLE 6,671,140,4,0,0,0,22,0,1,167,,,,,,,,,,,,,,,,,,
GREENVILLE 7,2046,478,5,2,7,1,62,3,3,561,,,,,,,,,,,,,,,,,,
GREENVILLE 8,3060,508,5,4,10,1,127,1,9,665,,,,,,,,,,,,,,,,,,
GREENVILLE 10,2501,300,2,1,5,1,204,2,7,522,,,,,,,,,,,,,,,,,,
GREENVILLE 14,1936,566,5,0,4,1,24,5,1,606,,,,,,,,,,,,,,,,,,
GREENVILLE 16,2032,126,1,0,4,6,279,1,3,420,,,,,,,,,,,,,,,,,,
GREENVILLE 17,1764,87,1,1,6,1,214,0,1,311,,,,,,,,,,,,,,,,,,
GREENVILLE 18,1517,53,1,0,3,1,195,1,2,256,,,,,,,,,,,,,,,,,,
GREENVILLE 19,2438,582,8,2,9,5,69,2,2,679,,,,,,,,,,,,,,,,,,
GREENVILLE 20,1289,60,0,0,1,1,180,1,3,246,,,,,,,,,,,,,,,,,,
GREENVILLE 21,1652,98,1,1,5,1,173,0,4,283,,,,,,,,,,,,,,,,,,
GREENVILLE 22,2323,166,3,0,9,6,365,2,6,557,,,,,,,,,,,,,,,,,,
GREENVILLE 23,2035,66,0,0,4,0,304,2,1,377,,,,,,,,,,,,,,,,,,
GREENVILLE 24,4028,343,3,1,11,5,435,2,10,810,,,,,,,,,,,,,,,,,,
GREENVILLE 25,2187,223,8,1,13,4,225,3,15,492,,,,,,,,,,,,,,,,,,
GREENVILLE 26,1951,326,10,1,8,1,128,1,5,480,,,,,,,,,,,,,,,,,,
GREENVILLE 27,1307,32,1,0,6,0,162,1,2,204,,,,,,,,,,,,,,,,,,
GREENVILLE 28,1269,140,1,1,5,5,98,2,8,260,,,,,,,,,,,,,,,,,,
GREENVILLE 29,2025,448,10,2,7,2,98,1,10,578,,,,,,,,,,,,,,,,,,
AIKEN,1000,171,3,2,5,1,88,4,2,276,,,,,,,,,,,,,,,,,,
ALTAMONT FOREST,1249,57,0,2,2,1,257,1,5,325,,,,,,,,,,,,,,,,,,
ASHETON LAKES,3087,153,1,1,6,2,674,1,5,843,,,,,,,,,,,,,,,,,,
AVON,1627,118,3,1,7,6,278,1,4,418,,,,,,,,,,,,,,,,,,
BELLE MEADE,1857,642,6,0,2,3,24,3,3,683,,,,,,,,,,,,,,,,,,
BELLS CROSSING,2909,201,5,5,9,4,561,3,11,799,,,,,,,,,,,,,,,,,,
BELMONT,999,253,3,0,6,1,81,4,0,348,,,,,,,,,,,,,,,,,,
BEREA,1517,250,7,2,8,3,194,3,2,469,,,,,,,,,,,,,,,,,,
BOILING SPRINGS,2115,159,4,0,9,1,369,1,6,549,,,,,,,,,,,,,,,,,,
BOTANY WOODS,1857,150,3,1,10,5,243,1,6,419,,,,,,,,,,,,,,,,,,
BROOKGLENN,1324,130,7,3,4,2,224,1,2,373,,,,,,,,,,,,,,,,,,
CANEBRAKE,2990,182,1,3,15,3,521,1,4,730,,,,,,,,,,,,,,,,,,
CAROLINA,1594,365,6,0,5,2,95,2,0,475,,,,,,,,,,,,,,,,,,
CHESTNUT HILLS,1894,257,14,0,6,1,211,1,6,496,,,,,,,,,,,,,,,,,,
CIRCLE CREEK,2628,195,3,3,12,3,537,1,4,758,,,,,,,,,,,,,,,,,,
CLEAR CREEK,1605,78,7,4,8,2,390,1,8,498,,,,,,,,,,,,,,,,,,
CONESTEE,2420,333,6,1,12,4,323,4,2,685,,,,,,,,,,,,,,,,,,
DARBY RIDGE,2414,99,2,1,9,6,573,5,5,700,,,,,,,,,,,,,,,,,,
DEL NORTE,2617,275,7,0,5,3,321,1,9,621,,,,,,,,,,,,,,,,,,
DEVENGER,1942,80,0,0,5,2,331,3,5,426,,,,,,,,,,,,,,,,,,
DONALDSON,1075,265,3,1,1,3,75,1,2,351,,,,,,,,,,,,,,,,,,
DOVE TREE,2004,116,3,0,7,1,291,0,10,428,,,,,,,,,,,,,,,,,,
DUNKLIN,2217,97,11,1,3,3,603,5,4,727,,,,,,,,,,,,,,,,,,
EASTSIDE,2354,183,7,0,8,5,408,3,9,623,,,,,,,,,,,,,,,,,,
EBENEZER,2132,96,6,0,6,3,503,6,2,622,,,,,,,,,,,,,,,,,,
EDWARDS FOREST,2353,159,10,0,9,2,424,6,5,615,,,,,,,,,,,,,,,,,,
ENOREE,2766,214,5,2,7,5,453,3,6,695,,,,,,,,,,,,,,,,,,
FEASTER,1440,127,3,0,4,3,167,6,3,313,,,,,,,,,,,,,,,,,,
FORK SHOALS,1804,98,6,0,8,2,492,9,4,619,,,,,,,,,,,,,,,,,,
FOUNTAIN INN 1,3121,487,12,1,10,2,427,5,9,953,,,,,,,,,,,,,,,,,,
FOUNTAIN INN 2,1430,137,2,3,2,4,267,4,4,423,,,,,,,,,,,,,,,,,,
FURMAN,2634,186,5,0,6,4,435,2,4,642,,,,,,,,,,,,,,,,,,
GOWENSVILLE,1937,77,4,2,5,2,507,6,2,605,,,,,,,,,,,,,,,,,,
GROVE,1813,347,8,2,3,2,161,6,0,529,,,,,,,,,,,,,,,,,,
JENNINGS MILL,1758,69,7,2,2,1,372,4,3,460,,,,,,,,,,,,,,,,,,
LAKEVIEW,2598,324,15,2,5,5,326,9,5,691,,,,,,,,,,,,,,,,,,
LAUREL RIDGE,2321,190,8,1,6,4,418,6,3,636,,,,,,,,,,,,,,,,,,
LEAWOOD,2550,243,8,2,6,3,313,3,11,589,,,,,,,,,,,,,,,,,,
MAPLE CREEK,1942,213,9,1,8,3,382,3,6,625,,,,,,,,,,,,,,,,,,
MARIDELL,1839,136,5,2,7,1,468,4,2,625,,,,,,,,,,,,,,,,,,
MAULDIN 1,2161,252,4,4,10,6,289,3,5,573,,,,,,,,,,,,,,,,,,
MAULDIN 2,3647,326,4,2,16,6,575,2,19,950,,,,,,,,,,,,,,,,,,
MAULDIN 3,2597,465,6,1,15,3,310,5,5,810,,,,,,,,,,,,,,,,,,
MAULDIN 4,3238,363,11,2,7,4,478,4,6,875,,,,,,,,,,,,,,,,,,
MAULDIN 5,3234,305,6,0,11,3,385,4,16,730,,,,,,,,,,,,,,,,,,
MAULDIN 6,2315,280,7,3,7,3,360,2,12,674,,,,,,,,,,,,,,,,,,
MAULDIN 7,2008,155,1,1,6,2,327,3,9,504,,,,,,,,,,,,,,,,,,
MISSION,2611,153,1,0,6,2,395,1,1,559,,,,,,,,,,,,,,,,,,
MONAVIEW,2274,241,13,1,12,3,207,9,7,493,,,,,,,,,,,,,,,,,,
MOUNTAIN CREEK,2306,75,2,0,5,1,449,1,9,542,,,,,,,,,,,,,,,,,,
MOUNTAIN VIEW,2215,74,4,0,0,3,573,3,3,660,,,,,,,,,,,,,,,,,,
NEELY FARMS,3512,304,6,0,7,4,686,3,12,1022,,,,,,,,,,,,,,,,,,
NORTHWOOD,2118,143,4,0,2,3,362,5,8,527,,,,,,,,,,,,,,,,,,
OAKVIEW,2893,165,5,0,10,4,552,2,6,744,,,,,,,,,,,,,,,,,,
PALMETTO,2087,161,6,0,8,1,303,5,5,489,,,,,,,,,,,,,,,,,,
PARIS MOUNTAIN,1358,65,0,1,4,2,253,2,2,329,,,,,,,,,,,,,,,,,,
PEBBLE CREEK,2200,137,5,1,11,3,446,2,3,608,,,,,,,,,,,,,,,,,,
PELHAM FALLS,1158,66,0,1,1,3,212,0,1,284,,,,,,,,,,,,,,,,,,
PIEDMONT,2766,265,13,4,9,3,444,8,10,756,,,,,,,,,,,,,,,,,,
PINEVIEW,1150,62,3,1,3,2,289,2,1,363,,,,,,,,,,,,,,,,,,
POINSETT,2676,183,5,2,9,3,405,2,4,613,,,,,,,,,,,,,,,,,,
RAINTREE,2873,325,7,5,12,4,504,2,9,868,,,,,,,,,,,,,,,,,,
REEDY FORK,1966,308,9,3,6,1,307,2,1,637,,,,,,,,,,,,,,,,,,
RIVERWALK,2719,138,1,0,7,3,537,1,3,690,,,,,,,,,,,,,,,,,,
ROCK HILL,2937,244,3,1,9,4,331,3,7,602,,,,,,,,,,,,,,,,,,
ROCKY CREEK,2236,217,4,2,5,3,294,1,4,530,,,,,,,,,,,,,,,,,,
ROLLING GREEN,1831,117,0,0,2,2,361,2,2,486,,,,,,,,,,,,,,,,,,
ROYAL OAKS,1561,490,8,1,8,0,39,3,0,549,,,,,,,,,,,,,,,,,,
SALUDA,1507,178,4,0,7,2,261,1,4,457,,,,,,,,,,,,,,,,,,
SANDY FLAT,3115,128,13,2,12,1,796,7,7,966,,,,,,,,,,,,,,,,,,
SEVIER,2723,149,5,0,8,7,479,5,6,659,,,,,,,,,,,,,,,,,,
SILVERLEAF,2211,109,0,2,6,1,382,1,2,503,,,,,,,,,,,,,,,,,,
SIMPSONVILLE 1,2557,248,5,4,9,4,392,2,10,674,,,,,,,,,,,,,,,,,,
SIMPSONVILLE 2,1696,185,7,3,5,3,250,7,8,468,,,,,,,,,,,,,,,,,,
SIMPSONVILLE 3,2461,163,2,1,7,8,446,2,2,631,,,,,,,,,,,,,,,,,,
SIMPSONVILLE 4,2096,231,5,1,13,4,304,3,16,577,,,,,,,,,,,,,,,,,,
SIMPSONVILLE 5,1905,288,5,2,13,4,259,3,7,581,,,,,,,,,,,,,,,,,,
SIMPSONVILLE 6,2730,279,16,1,7,3,457,2,12,777,,,,,,,,,,,,,,,,,,
SKYLAND,2415,55,7,2,2,4,670,4,9,753,,,,,,,,,,,,,,,,,,
SLATER MARIETTA,2846,110,17,1,19,5,688,10,7,857,,,,,,,,,,,,,,,,,,
SOUTHSIDE,2341,291,7,0,6,1,227,2,3,537,,,,,,,,,,,,,,,,,,
SPRING FOREST,2558,202,4,0,10,2,249,2,2,471,,,,,,,,,,,,,,,,,,
STONE VALLEY,2538,249,8,1,7,6,420,2,8,701,,,,,,,,,,,,,,,,,,
STONEHAVEN,1927,123,3,1,8,0,320,1,3,459,,,,,,,,,,,,,,,,,,
SUBER MILL,2786,230,5,0,7,8,458,7,10,725,,,,,,,,,,,,,,,,,,
SUGAR CREEK,2400,116,2,1,6,2,440,1,8,576,,,,,,,,,,,,,,,,,,
SULPHUR SPRINGS,2238,176,9,1,9,5,429,7,1,637,,,,,,,,,,,,,,,,,,
SYCAMORE,2030,122,4,1,1,3,427,3,6,567,,,,,,,,,,,,,,,,,,
TANGLEWOOD,2586,419,10,1,5,6,293,9,3,746,,,,,,,,,,,,,,,,,,
TAYLORS,2392,334,11,0,11,4,320,2,12,694,,,,,,,,,,,,,,,,,,
THORNBLADE,3444,224,7,2,10,5,519,1,3,771,,,,,,,,,,,,,,,,,,
TIGERVILLE,2429,83,4,1,9,2,551,3,8,661,,,,,,,,,,,,,,,,,,
TIMBERLAKE,2635,144,2,0,10,7,319,0,11,493,,,,,,,,,,,,,,,,,,
TRADE,2547,280,7,2,11,4,304,11,6,625,,,,,,,,,,,,,,,,,,
TUBBS MOUNTAIN,2224,94,9,3,4,3,514,4,8,639,,,,,,,,,,,,,,,,,,
WADE HAMPTON,2523,188,2,2,5,4,327,4,4,536,,,,,,,,,,,,,,,,,,
WALNUT SPRINGS,4520,339,7,5,15,3,866,2,13,1250,,,,,,,,,,,,,,,,,,
WELCOME,2345,406,14,2,3,3,213,6,2,649,,,,,,,,,,,,,,,,,,
WELLINGTON,1532,76,5,0,0,1,244,0,3,329,,,,,,,,,,,,,,,,,,
WESTCLIFFE,1887,199,9,0,5,1,284,8,4,510,,,,,,,,,,,,,,,,,,
WESTSIDE,2204,277,10,2,7,2,342,14,5,659,,,,,,,,,,,,,,,,,,
WOODMONT,2656,407,9,0,9,1,322,6,4,758,,,,,,,,,,,,,,,,,,
WOODRUFF LAKES,2752,183,4,0,10,1,515,1,3,717,,,,,,,,,,,,,,,,,,
MT. PLEASANT,1816,466,8,0,7,6,75,5,3,570,,,,,,,,,,,,,,,,,,
BAKER CREEK,1416,104,7,2,4,1,301,3,2,424,,,,,,,,,,,,,,,,,,
BRIDGE FORK,1711,110,1,0,6,0,363,2,2,484,,,,,,,,,,,,,,,,,,
CASTLE ROCK,2586,120,4,1,8,0,597,5,5,740,,,,,,,,,,,,,,,,,,
FOX CHASE,1899,91,3,1,3,2,452,3,7,562,,,,,,,,,,,,,,,,,,
FROHAWK,1600,86,2,0,3,3,377,0,4,475,,,,,,,,,,,,,,,,,,
GRANITE CREEK,2622,231,7,0,11,2,479,4,7,741,,,,,,,,,,,,,,,,,,
GRAZE BRANCH,1539,104,0,1,5,0,315,0,8,433,,,,,,,,,,,,,,,,,,
GREENBRIAR,1796,184,1,2,7,1,304,2,6,507,,,,,,,,,,,,,,,,,,
HILLCREST,2549,218,5,0,10,2,481,1,8,725,,,,,,,,,,,,,,,,,,
HOLLY TREE,1375,81,0,0,4,0,275,1,3,364,,,,,,,,,,,,,,,,,,
KILGORE FARMS,2417,215,2,0,11,3,396,3,3,633,,,,,,,,,,,,,,,,,,
LOCUST HILL,1551,69,2,1,2,3,380,4,5,466,,,,,,,,,,,,,,,,,,
LONG CREEK,1509,108,4,0,5,2,278,0,4,401,,,,,,,,,,,,,,,,,,
MOORE CREEK,2926,398,11,1,12,5,488,1,9,925,,,,,,,,,,,,,,,,,,
ONEAL,2567,115,11,2,6,1,674,4,6,819,,,,,,,,,,,,,,,,,,
RANCH CREEK,2722,476,12,1,9,6,334,5,11,854,,,,,,,,,,,,,,,,,,
RIVERSIDE,2480,237,6,1,3,6,390,3,8,654,,,,,,,,,,,,,,,,,,
SPARROWS POINT,2275,190,3,1,12,1,396,1,8,612,,,,,,,,,,,,,,,,,,
STANDING SPRINGS,1796,188,7,3,5,6,317,2,6,534,,,,,,,,,,,,,,,,,,
TRAVELERS REST 1,2487,171,2,3,9,4,401,4,2,596,,,,,,,,,,,,,,,,,,
TRAVELERS REST 2,1566,101,5,2,8,5,315,7,6,449,,,,,,,,,,,,,,,,,,
TYGER RIVER,1482,136,9,0,4,4,226,5,2,386,,,,,,,,,,,,,,,,,,
VERDMONT,2120,231,2,2,6,1,399,0,5,646,,,,,,,,,,,,,,,,,,
WARE PLACE,1985,147,9,2,6,4,483,5,3,659,,,,,,,,,,,,,,,,,,
Greenwood No. 1,914,210,2,0,2,2,23,5,0,244,,,,,,,,,,,,,,,,,,
Greenwood No. 2,1191,300,2,0,2,0,8,0,0,312,,,,,,,,,,,,,,,,,,
Greenwood No. 3,1266,100,1,1,5,1,106,1,5,220,,,,,,,,,,,,,,,,,,
Greenwood No. 4,1105,163,8,0,1,2,125,1,1,301,,,,,,,,,,,,,,,,,,
Greenwood No. 5,767,133,2,0,1,0,27,2,1,166,,,,,,,,,,,,,,,,,,
Greenwood No. 6,953,177,4,0,0,1,74,2,2,260,,,,,,,,,,,,,,,,,,
Greenwood No. 7,1287,180,5,1,4,1,66,4,3,264,,,,,,,,,,,,,,,,,,
Greenwood No. 8,895,97,1,0,2,3,130,0,4,237,,,,,,,,,,,,,,,,,,
Glendale,1410,46,1,2,2,2,217,1,2,273,,,,,,,,,,,,,,,,,,
Harris,721,66,3,1,1,1,80,1,0,153,,,,,,,,,,,,,,,,,,
Laco,1389,144,3,1,6,3,219,10,1,387,,,,,,,,,,,,,,,,,,
Ninety Six,857,102,1,0,5,1,95,0,1,205,,,,,,,,,,,,,,,,,,
Ninety Six Mill,730,27,3,1,2,0,142,0,2,177,,,,,,,,,,,,,,,,,,
Ware Shoals,703,86,5,1,2,1,71,6,3,175,,,,,,,,,,,,,,,,,,
Hodges,1273,87,3,0,0,1,250,3,2,346,,,,,,,,,,,,,,,,,,
Cokesbury,1122,190,3,2,5,0,129,1,2,332,,,,,,,,,,,,,,,,,,
Coronaca,1429,51,7,2,4,0,296,3,2,365,,,,,,,,,,,,,,,,,,
Greenwood High,935,69,4,0,1,1,110,2,4,191,,,,,,,,,,,,,,,,,,
Georgetown,1024,106,2,0,1,1,105,2,2,219,,,,,,,,,,,,,,,,,,
Sandridge,623,38,1,2,2,0,155,1,2,201,,,,,,,,,,,,,,,,,,
Callison,911,63,5,0,4,0,188,4,2,266,,,,,,,,,,,,,,,,,,
